!CSV A.01.01
!Agilent Technologies,E8362C,MY49020225,A.09.42.22
!Agilent E8362C: A.09.42.22
!Date: Friday, March 11, 2016 14:32:04
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S21 Log Mag(dB),S21 Phase(°),S11 Log Mag(dB)
1448000000,-0.7123816,82.407539,-22.511181
1449000000,-0.70286536,82.39711,-22.525669
1450000000,-0.70012569,82.060272,-22.461361
1451000000,-0.74248332,81.58139,-22.426861
1452000000,-0.71282697,81.428322,-22.372862
1453000000,-0.71463144,81.226868,-22.353333
1454000000,-0.69019508,80.869621,-22.295506
1455000000,-0.70423365,80.479889,-22.308781
1456000000,-0.69901091,80.297096,-22.185884
1457000000,-0.70043743,79.902596,-22.183289
1458000000,-0.6878342,79.652588,-22.064058
1459000000,-0.70367569,79.280067,-21.95738
1460000000,-0.66804874,79.140793,-21.815569
1461000000,-0.70342493,78.891968,-21.919449
1462000000,-0.67361224,78.54232,-21.679586
1463000000,-0.68205363,78.414764,-21.574514
1464000000,-0.65981507,78.171043,-21.585518
1465000000,-0.68270957,77.852844,-21.432592
1466000000,-0.69050509,77.48716,-21.328619
1467000000,-0.67098349,77.326584,-21.241135
1468000000,-0.66838634,76.986946,-21.062845
1469000000,-0.63235211,76.582573,-20.942162
1470000000,-0.65580618,76.298515,-20.838135
1471000000,-0.64331377,76.03569,-20.748318
1472000000,-0.63958985,75.756554,-20.494808
1473000000,-0.65150875,75.667549,-20.420006
1474000000,-0.6543411,75.405197,-20.384871
1475000000,-0.66863781,75.064072,-20.257479
1476000000,-0.62930632,74.859596,-20.112495
1477000000,-0.62335992,74.485123,-19.994658
1478000000,-0.6245892,74.218178,-19.850275
1479000000,-0.61838394,73.834129,-19.756498
1480000000,-0.64517981,73.758514,-19.65777
1481000000,-0.64488512,73.507698,-19.518772
1482000000,-0.64279735,73.126549,-19.471649
1483000000,-0.60253477,73.010834,-19.239695
1484000000,-0.63013572,72.517349,-19.211313
1485000000,-0.65086991,72.40374,-19.043673
1486000000,-0.60775441,72.164635,-18.870474
1487000000,-0.61980134,72.004494,-18.862896
1488000000,-0.63924539,71.69529,-18.757404
1489000000,-0.64182818,71.209404,-18.553219
1490000000,-0.65761989,71.158524,-18.558329
1491000000,-0.62266326,70.786385,-18.365114
1492000000,-0.64254606,70.796288,-18.320927
1493000000,-0.64934307,70.37944,-18.19417
1494000000,-0.60997975,70.112946,-18.056595
1495000000,-0.6231612,69.895157,-17.966164
1496000000,-0.6077019,69.600151,-17.818888
1497000000,-0.61466849,69.193352,-17.731207
1498000000,-0.62546605,69.272346,-17.605101
1499000000,-0.61895311,68.750626,-17.542074
1500000000,-0.62689608,68.691376,-17.433996
1501000000,-0.61439794,68.270134,-17.283535
1502000000,-0.62216216,67.922958,-17.261412
1503000000,-0.61081022,67.694626,-17.109928
1504000000,-0.60767347,67.604256,-17.062759
1505000000,-0.60847169,67.120972,-16.87492
1506000000,-0.65175033,66.970848,-16.900639
1507000000,-0.62463915,66.831924,-16.801596
1508000000,-0.61113566,66.365829,-16.623297
1509000000,-0.63827109,66.415504,-16.620306
1510000000,-0.62599552,66.084053,-16.531132
1511000000,-0.60456061,65.959915,-16.367147
1512000000,-0.61348724,65.448692,-16.308254
1513000000,-0.63377583,65.271507,-16.249929
1514000000,-0.60305887,64.986626,-16.157967
1515000000,-0.62480724,64.575821,-16.096378
1516000000,-0.61360592,64.746971,-16.056246
1517000000,-0.62961131,64.166107,-15.975393
1518000000,-0.6210376,63.937824,-15.837123
1519000000,-0.62051165,63.874237,-15.812163
1520000000,-0.65021658,63.441666,-15.698113
1521000000,-0.62730956,63.390488,-15.647411
1522000000,-0.59925503,62.861797,-15.516729
1523000000,-0.61731189,62.738464,-15.457168
1524000000,-0.65189946,62.405491,-15.352992
1525000000,-0.6223858,62.286415,-15.307184
1526000000,-0.62627769,62.013557,-15.207065
1527000000,-0.62975234,61.787552,-15.226283
